type charge x y z
1025 3 -2 6.71651 3.13565 27.4087 

1025 3 -2 6.03965 1.34072 27.4086 

1025 3 -2 5.36263 7.09397 27.4089 

1025 3 -2 4.68574 5.29898 27.4089 

1025 3 -2 4.00888 3.50401 27.4089 

1025 3 -2 3.33199 1.70904 27.4087 

1025 3 -2 2.65494 7.46228 27.4088 

1025 3 -2 1.97804 5.66735 27.4088 

1025 3 -2 1.30115 3.87239 27.4086 

1025 3 -2 0.624306 2.07744 27.4087 

1025 3 -2 7.49551 0.282355 27.4084 

1025 3 -2 6.81863 6.03553 27.4089 

1025 3 -2 6.14174 4.24053 27.4087 

1025 3 -2 5.46486 2.44558 27.4087 

1025 3 -2 4.78798 0.650671 27.4085 

1025 3 -2 4.11089 6.40389 27.4088 

1025 3 -2 3.43401 4.60894 27.409 

1025 3 -2 2.75714 2.81395 27.4088 

1025 3 -2 2.08028 1.01898 27.4088 

1025 3 -2 1.40327 6.77219 27.4088 

1025 3 -2 0.726369 4.97726 27.4086 

1025 3 -2 0.0494954 3.18231 27.4087 

1025 3 -2 6.92077 1.38718 27.4087 

1025 3 -2 6.2438 7.14047 27.409 

1025 3 -2 5.56691 5.34545 27.4089 

1025 3 -2 4.89005 3.55047 27.4089 

1025 3 -2 4.21316 1.75551 27.4086 

1025 3 -2 3.53608 7.50877 27.4088 

1025 3 -2 2.8592 5.71381 27.4088 

1025 3 -2 2.1823 3.91885 27.4087 

1025 3 -2 1.50544 2.1239 27.4088 

1025 3 -2 0.828638 0.328956 27.4087 

1025 3 -2 0.151606 6.08211 27.4086 

1025 3 -2 7.02289 4.28702 27.4087 

1025 3 -2 6.34598 2.49206 27.4087 

1025 3 -2 5.66912 0.697137 27.4085 

1025 3 -2 4.99207 6.45037 27.4088 

1025 3 -2 4.3152 4.65539 27.409 

1025 3 -2 3.63833 2.86039 27.4088 

1025 3 -2 2.96144 1.06544 27.4087 

1025 3 -2 2.28439 6.81869 27.4088 

1025 3 -2 1.60751 5.02375 27.4087 

1025 3 -2 0.930598 3.22878 27.4087 

1025 3 -2 0.253783 1.43386 27.4087 

1025 3 -2 7.12499 7.18696 27.409 

1025 3 -2 6.44809 5.39191 27.4088 

1025 3 -2 5.7712 3.59693 27.4088 

1025 3 -2 5.09431 1.80199 27.4086 

1025 3 -2 4.41743 0.00707695 27.4086 

1025 3 -2 3.74035 5.76029 27.4089 

1025 3 -2 3.06349 3.96532 27.4089 

1025 3 -2 2.3866 2.17034 27.4088 

1025 3 -2 1.70976 0.375398 27.4087 

1025 3 -2 1.03272 6.12861 27.4087 

1025 3 -2 0.355819 4.33366 27.4086 

1025 3 -2 7.22711 2.53855 27.4087 

1025 3 -2 6.55023 0.743599 27.4086 

1025 3 -2 5.87326 6.49683 27.4089 

1025 3 -2 5.19638 4.70184 27.4089 

1025 3 -2 4.51951 2.90686 27.4088 

1025 3 -2 3.84262 1.11192 27.4086 

1025 3 -2 3.16553 6.86516 27.4088 

1025 3 -2 2.48864 5.07022 27.4088 

1025 3 -2 1.81176 3.27526 27.4087 

1025 3 -2 1.13492 1.4803 27.4088 

1025 3 -2 0.457954 7.23347 27.4087 

1025 3 -2 7.32923 5.4384 27.4088 

1025 3 -2 6.65233 3.6434 27.4087 

1025 3 -2 5.97544 1.84846 27.4087 

1025 3 -2 5.29858 0.0535649 27.4085 

1025 3 -2 4.62153 5.80676 27.4089 

1025 3 -2 3.94466 4.01176 27.409 

1025 3 -2 3.26778 2.21679 27.4087 

1025 3 -2 2.59091 0.421867 27.4087 

1025 3 -2 1.91386 6.17509 27.4088 

1025 3 -2 1.23695 4.38014 27.4086 

1025 3 -2 0.560085 2.58519 27.4087 

1025 3 -2 7.43134 0.790089 27.4085 

1025 3 -2 6.75443 6.54332 27.409 

1025 3 -2 6.07753 4.7483 27.4088 

