type charge x y z
1025 3 -0.495221 0.0698888 2.77401 22.6606 

1025 3 -0.496137 -0.00947533 2.8047 22.6524 

1025 3 -0.493188 0.0119381 8.52361 22.6794 

1025 3 -0.497418 5.62689 5.58351 22.6516 

1025 3 -0.49039 2.82734 2.86624 22.7058 

1025 3 -0.494598 5.69657 2.82853 22.6429 

1025 3 -0.496653 5.67691 0.0800819 22.611 

1025 3 -0.496955 2.87783 5.74915 22.6474 

1025 3 -0.496998 2.77333 2.83342 22.6915 

1025 3 -0.498329 2.80251 2.90929 22.6206 

1025 3 -0.493271 2.84998 -0.0110305 22.7599 

1025 3 -0.499938 2.92772 5.68485 22.6859 

1025 3 -0.496728 19.7527 5.64385 22.6673 

1025 3 -0.494806 -0.0197052 2.8313 22.6989 

1025 3 -0.497497 8.55959 19.8622 22.6883 

1025 3 -0.494075 5.69211 5.68787 22.6916 

1025 3 -0.494869 5.72796 5.66215 22.7017 

1025 3 -0.493825 5.66547 2.77676 22.7068 

1025 3 -0.496157 2.81639 22.6474 22.711 

1025 3 -0.496494 2.75076 5.73746 22.6396 

1025 3 -0.495104 2.79348 5.73491 22.6914 

1025 3 -0.497848 2.87769 22.6698 22.6909 

1025 3 -0.494898 2.79743 2.84879 22.6731 

1025 3 -0.498573 22.6623 11.3869 22.6281 

1025 3 -0.492574 22.6041 5.63696 22.7065 

1025 3 -0.497152 5.58514 2.82433 22.6134 

1025 3 -0.495988 5.64697 2.79847 22.6356 

1025 3 -0.49574 5.59918 22.5631 22.6597 

1025 3 -0.495153 5.71529 5.70608 22.7204 

1025 3 -0.493028 5.61225 2.8309 22.6778 

1025 3 -0.498176 2.82882 5.71493 22.6601 

1025 3 -0.49435 2.77813 0.00104241 22.7132 

1025 3 -0.496325 2.85686 5.71846 22.6958 

1025 3 -0.495484 2.82365 2.93175 22.6504 

1025 3 -0.496003 -0.0286229 2.83826 22.6818 

1025 3 -0.494515 22.5765 0.0531492 22.7318 

1025 3 -0.491417 8.58194 5.64976 22.7071 

1025 3 -0.492986 5.72032 8.50493 22.7014 

1025 3 -0.493108 5.70188 2.77571 22.6659 

1025 3 -0.495213 5.65875 22.6759 22.6624 

1025 3 -0.490926 4.32547 7.13843 23.3603 

1025 3 -0.499663 2.82155 5.73071 22.6652 

1025 3 -0.497581 2.80619 2.911 22.6711 

1025 3 -0.495304 2.89254 2.90986 22.7147 

1025 3 -0.493675 2.78152 11.3129 22.6875 

1025 3 -0.498277 22.6819 5.59877 22.6639 

1025 3 -0.496236 19.76 2.80834 22.6985 

1025 3 -0.494132 8.51839 2.84421 22.7139 

1025 3 -0.493927 5.65013 22.6959 22.6357 

1025 3 -0.495934 5.6837 5.68093 22.6441 

1025 3 -0.496211 5.71201 2.85098 22.6763 

1025 3 -0.499314 5.72919 5.69283 22.6617 

1025 3 -0.499499 2.8613 19.803 22.6418 

1025 3 -0.497365 -0.110325 5.6262 22.6598 

1025 3 -0.500212 2.8483 5.69327 22.6639 

1025 3 -0.495702 2.87474 2.95794 22.6842 

1025 3 -0.488843 -0.0645087 22.6133 22.7026 

1025 3 -0.494291 22.6862 5.72124 22.6795 

1025 3 -0.498488 8.48542 8.57294 22.6705 

1025 3 -0.49511 5.55583 2.85395 22.6589 

1025 3 -0.496147 5.61812 2.78646 22.6943 

1025 3 -0.49351 5.636 5.65874 22.6202 

1025 3 -0.494635 5.66086 5.7416 22.6491 

