a b c d e
273 1 17.08872 8.54436 2.848116
274 1 18.51278 9.96842 4.272174
275 1 19.93684 8.54436 2.848116
276 1 21.3609 9.96842 4.272174
277 1 22.78496 8.54436 2.848116
278 1 24.20902 9.96842 4.272174
279 1 25.63308 8.54436 2.848116
280 1 27.05714 9.96842 4.272174
281 1 0.0 11.39248 2.848116
282 1 1.42406 12.81654 4.272174
283 1 2.84812 11.39248 2.848116
284 1 4.27218 12.81654 4.272174
285 1 5.69624 11.39248 2.848116
286 1 7.1203 12.81654 4.272174
287 1 8.54436 11.39248 2.848116
288 1 9.96842 12.81654 4.272174
289 1 11.39248 11.39248 2.848116
290 1 12.81654 12.81654 4.272174
291 1 14.2406 11.39248 2.848116
292 1 15.66466 12.81654 4.272174
293 1 17.08872 11.39248 2.848116
294 1 18.51278 12.81654 4.272174
295 1 19.93684 11.39248 2.848116
296 1 21.3609 12.81654 4.272174
297 1 22.78496 11.39248 2.848116
298 1 24.20902 12.81654 4.272174
299 1 25.63308 11.39248 2.848116
300 1 27.05714 12.81654 4.272174
301 1 0.0 14.2406 2.848116
302 1 1.42406 15.66466 4.272174
303 1 2.84812 14.2406 2.848116
304 1 4.27218 15.66466 4.272174
305 1 5.69624 14.2406 2.848116
306 1 7.1203 15.66466 4.272174
307 1 8.54436 14.2406 2.848116
308 1 9.96842 15.66466 4.272174
309 1 11.39248 14.2406 2.848116
310 1 12.81654 15.66466 4.272174
311 1 14.2406 14.2406 2.848116
312 1 15.66466 15.66466 4.272174
313 1 17.08872 14.2406 2.848116
314 1 18.51278 15.66466 4.272174
315 1 19.93684 14.2406 2.848116
316 1 21.3609 15.66466 4.272174
317 1 22.78496 14.2406 2.848116
318 1 24.20902 15.66466 4.272174
319 1 25.63308 14.2406 2.848116
320 1 27.05714 15.66466 4.272174
321 1 0.0 17.08872 2.848116
322 1 1.42406 18.51278 4.272174
323 1 2.84812 17.08872 2.848116
324 1 4.27218 18.51278 4.272174
325 1 5.69624 17.08872 2.848116
326 1 7.1203 18.51278 4.272174
327 1 8.54436 17.08872 2.848116
328 1 9.96842 18.51278 4.272174
329 1 11.39248 17.08872 2.848116
330 1 12.81654 18.51278 4.272174
331 1 14.2406 17.08872 2.848116
332 1 15.66466 18.51278 4.272174
333 1 17.08872 17.08872 2.848116
334 1 18.51278 18.51278 4.272174
335 1 19.93684 17.08872 2.848116
336 1 21.3609 18.51278 4.272174
337 1 22.78496 17.08872 2.848116
338 1 24.20902 18.51278 4.272174
339 1 25.63308 17.08872 2.848116
340 1 27.05714 18.51278 4.272174
341 1 0.0 19.93684 2.848116
342 1 1.42406 21.3609 4.272174
343 1 2.84812 19.93684 2.848116
344 1 4.27218 21.3609 4.272174
345 1 5.69624 19.93684 2.848116
346 1 7.1203 21.3609 4.272174
347 1 8.54436 19.93684 2.848116
348 1 9.96842 21.3609 4.272174
349 1 11.39248 19.93684 2.848116
350 1 12.81654 21.3609 4.272174
351 1 14.2406 19.93684 2.848116
352 1 15.66466 21.3609 4.272174
353 1 17.08872 19.93684 2.848116
354 1 18.51278 21.3609 4.272174
355 1 19.93684 19.93684 2.848116
356 1 21.3609 21.3609 4.272174
357 1 22.78496 19.93684 2.848116
358 1 24.20902 21.3609 4.272174
359 1 25.63308 19.93684 2.848116
360 1 27.05714 21.3609 4.272174
361 1 0.0 22.78496 2.848116
362 1 1.42406 24.20902 4.272174
363 1 2.84812 22.78496 2.848116
364 1 4.27218 24.20902 4.272174
365 1 5.69624 22.78496 2.848116
366 1 7.1203 24.20902 4.272174
367 1 8.54436 22.78496 2.848116
368 1 9.96842 24.20902 4.272174
369 1 11.39248 22.78496 2.848116
370 1 12.81654 24.20902 4.272174
371 1 14.2406 22.78496 2.848116
372 1 15.66466 24.20902 4.272174
373 1 17.08872 22.78496 2.848116
374 1 18.51278 24.20902 4.272174
375 1 19.93684 22.78496 2.848116
376 1 21.3609 24.20902 4.272174
377 1 22.78496 22.78496 2.848116
378 1 24.20902 24.20902 4.272174
379 1 25.63308 22.78496 2.848116
380 1 27.05714 24.20902 4.272174
381 1 0.0 25.63308 2.848116
382 1 1.42406 27.05714 4.272174
383 1 2.84812 25.63308 2.848116
384 1 4.27218 27.05714 4.272174
385 1 5.69624 25.63308 2.848116
386 1 7.1203 27.05714 4.272174
387 1 8.54436 25.63308 2.848116
388 1 9.96842 27.05714 4.272174
389 1 11.39248 25.63308 2.848116
390 1 12.81654 27.05714 4.272174
391 1 14.2406 25.63308 2.848116
392 1 15.66466 27.05714 4.272174
393 1 17.08872 25.63308 2.848116
394 1 18.51278 27.05714 4.272174
395 1 19.93684 25.63308 2.848116
396 1 21.3609 27.05714 4.272174
397 1 22.78496 25.63308 2.848116
398 1 24.20902 27.05714 4.272174
399 1 25.63308 25.63308 2.848116
400 1 27.05714 27.05714 4.272174
401 1 0.0 0.0 5.696232
402 1 1.42406 1.42406 7.12029
403 1 2.84812 0.0 5.696232
404 1 4.27218 1.42406 7.12029
405 1 5.69624 0.0 5.696232
406 1 7.1203 1.42406 7.12029
407 1 8.54436 0.0 5.696232
408 1 9.96842 1.42406 7.12029
409 1 11.39248 0.0 5.696232
410 1 12.81654 1.42406 7.12029
411 1 14.2406 0.0 5.696232
412 1 15.66466 1.42406 7.12029
413 1 17.08872 0.0 5.696232
414 1 18.51278 1.42406 7.12029
415 1 19.93684 0.0 5.696232
416 1 21.3609 1.42406 7.12029
417 1 22.78496 0.0 5.696232
418 1 24.20902 1.42406 7.12029
419 1 25.63308 0.0 5.696232
420 1 27.05714 1.42406 7.12029
421 1 0.0 2.84812 5.696232
422 1 1.42406 4.27218 7.12029
423 1 2.84812 2.84812 5.696232
424 1 4.27218 4.27218 7.12029
425 1 5.69624 2.84812 5.696232
426 1 7.1203 4.27218 7.12029
427 1 8.54436 2.84812 5.696232
428 1 9.96842 4.27218 7.12029
429 1 11.39248 2.84812 5.696232
430 1 12.81654 4.27218 7.12029
431 1 14.2406 2.84812 5.696232
432 1 15.66466 4.27218 7.12029
433 1 17.08872 2.84812 5.696232
434 1 18.51278 4.27218 7.12029
435 1 19.93684 2.84812 5.696232
436 1 21.3609 4.27218 7.12029
437 1 22.78496 2.84812 5.696232
438 1 24.20902 4.27218 7.12029
439 1 25.63308 2.84812 5.696232
440 1 27.05714 4.27218 7.12029
441 1 0.0 5.69624 5.696232
442 1 1.42406 7.1203 7.12029
443 1 2.84812 5.69624 5.696232
444 1 4.27218 7.1203 7.12029
445 1 5.69624 5.69624 5.696232
446 1 7.1203 7.1203 7.12029
447 1 8.54436 5.69624 5.696232
448 1 9.96842 7.1203 7.12029
449 1 11.39248 5.69624 5.696232
450 1 12.81654 7.1203 7.12029
451 1 14.2406 5.69624 5.696232
452 1 15.66466 7.1203 7.12029
453 1 17.08872 5.69624 5.696232
454 1 18.51278 7.1203 7.12029
455 1 19.93684 5.69624 5.696232
456 1 21.3609 7.1203 7.12029
457 1 22.78496 5.69624 5.696232
458 1 24.20902 7.1203 7.12029
459 1 25.63308 5.69624 5.696232
460 1 27.05714 7.1203 7.12029
461 1 0.0 8.54436 5.696232
462 1 1.42406 9.96842 7.12029
463 1 2.84812 8.54436 5.696232
464 1 4.27218 9.96842 7.12029
465 1 5.69624 8.54436 5.696232
466 1 7.1203 9.96842 7.12029
467 1 8.54436 8.54436 5.696232
468 1 9.96842 9.96842 7.12029
469 1 11.39248 8.54436 5.696232
470 1 12.81654 9.96842 7.12029
471 1 14.2406 8.54436 5.696232
472 1 15.66466 9.96842 7.12029
473 1 17.08872 8.54436 5.696232
474 1 18.51278 9.96842 7.12029
475 1 19.93684 8.54436 5.696232
476 1 21.3609 9.96842 7.12029
477 1 22.78496 8.54436 5.696232
478 1 24.20902 9.96842 7.12029
479 1 25.63308 8.54436 5.696232
